Location	X	Y	Z	Angle
A37	-100.34229094	-100.421263	186.46379173	-28.32424206
B1	181.32414016	-51.32030000	108.81005000	-300.96737300
B2	178.61154685	-51.32027480	113.20771181	-303.26737300
B3	170.28992520	-50.97637953	125.81470945	-306.47592907
B4	164.75813976	-50.97637953	132.89339803	-308.85899447
B5	159.17869449	-50.97637953	139.45729213	-311.23224975
B6	153.41610787	-50.97637953	145.89832598	-313.61109143
B7	146.46020551	-50.97637953	152.70714370	-316.21976784
B8	139.89310118	-50.97637953	158.69711142	-318.58282681
B9	133.30100866	-50.97637953	164.22846260	-320.94337576
B10	126.49520709	-50.97637953	169.60194094	-323.29380079
B11	119.15509567	-50.97637953	174.74124055	-325.65380088
B12	111.95563031	-50.97637953	179.48491772	-328.01380220
B13	104.42125827	-50.97637953	183.88260315	-330.37380229
B14	95.77750394	-50.97637953	188.61560157	-332.73380347
B15	87.85407165	-50.97637953	192.40456299	-335.54622428
B16	79.71218031	-50.97637953	195.83908583	-337.91797347
B17	71.48200787	-50.97637953	198.97398819	-340.28352078
B18	63.02253898	-50.97637953	201.88439055	-342.65939768
B19	54.65478346	-50.97637795	204.25097205	-345.01939550
B20	46.13095354	-50.97637795	206.15655906	-347.37939514
B21	36.42707480	-50.97637795	208.27547430	9.92060450
B22	27.81978477	-50.97637795	209.59881810	7.56060450
B23	19.16530245	-50.97637795	210.56660740	5.20060450
B24	11.85249055	-50.97637795	211.01950866	-357.15940965
B25	1.77354044	-50.97637795	211.78721024	-359.51939634
B26	-8.18750812	-50.97637795	211.27841740	-2.21920655
B27	-16.42356767	-50.97637795	210.85181485	-4.57925152
B28	-25.02212407	-50.97637795	210.01230018	-6.93923230
B29	-33.44323543	-50.97637795	208.46196024	-9.29922186
B30	-41.99905906	-50.97637795	206.99533937	-11.65922559
B31	-50.67972323	-50.97637795	205.23449882	-14.01922599
B32	-59.07520079	-50.97637953	203.09127205	-16.37922581
B33	-67.54732638	-50.97637953	200.41251575	-18.75130333
B34	-76.80376811	-50.97637953	197.24118386	-21.32246885
B35	-84.68517795	-50.97637795	193.99806929	-23.68246830
B36	-92.58594646	-50.97637953	190.41051024	-25.96424299
B37	-100.34229094	-50.97637953	186.46379173	-28.32424206
C1	184.54835197	-1.53149606	114.15299291	-301.73900000
C2	179.69121575	-1.53149606	121.65552559	-304.09900000
C3	174.61325197	-1.53149606	129.04525669	-306.45900011
C4	169.13510669	-1.53149606	136.03925984	-308.80900082
C5	163.31281457	-1.53149606	142.95516772	-311.16029950
C6	157.25196496	-1.53149606	149.54372087	-313.54190001
C7	150.14107795	-1.53149606	156.53187402	-316.21459971
C8	143.58033780	-1.53149606	162.59757244	-318.57110019
C9	136.73050394	-1.53149606	168.37526772	-320.94560048
C10	129.64541181	-1.53149606	173.88348504	-323.31270022
C11	122.38398150	-1.53149606	179.03752835	-325.66980096
C12	114.86903740	-1.53149606	183.96608228	-328.04620096
C13	107.16711535	-1.53149606	188.56029331	-330.42739941
C14	98.21394646	-1.53149606	193.39118110	-333.11529932
C15	90.18314409	-1.53149606	197.22578150	-335.50520167
C16	81.86180197	-1.53149606	200.85625591	-337.88110023
C17	73.44936575	-1.53149606	204.04467441	-340.24150008
C18	65.13441299	-1.53149606	206.86490472	-342.58739931
C19	56.56739055	-1.53149606	209.37707598	-344.93040061
C20	47.82439803	-1.53149606	211.53905630	-347.28000051
C21	38.07639528	-1.53149606	213.50575197	-350.01784009
C22	28.94283425	-1.53149606	214.95999016	-352.34463827
C23	19.93952559	-1.53149606	216.06015512	-354.67463465
C24	11.42334134	-1.53149606	216.38167362	-357.00463231
C25T	2.42913386	17.32283465	215.39059724	-358.16974364
C26T	-7.28044646	16.99500000	216.54805669	-0.49962258
C25B	1.68548976	-18.46000000	216.79149055	-358.16963010
C26B	-6.56870906	-18.46000000	216.51705748	-0.49966698
C27	-17.03207520	-1.53149606	216.25887835	-4.40017938
C28	-25.56835827	-1.53149606	215.47871654	-6.85970065
C29	-34.59693228	-1.53149606	214.15203189	-9.21969727
C30	-43.58911929	-1.53149606	212.47636654	-11.57969949
C31	-52.33809094	-1.53149606	210.49976496	-13.94189986
C32	-60.98564173	-1.53149606	208.19173583	-16.36800015
C33	-69.48520276	-1.53149606	205.56740748	-18.75629992
C34	-78.59754331	-1.53149606	202.38620906	-21.27569881
C35	-86.84145945	-1.53149606	198.94983504	-23.66039944
C36	-95.05008622	-1.53149606	195.16227992	-26.00339980
C37	-103.03350000	-1.53149606	191.12074606	-28.34929941
D1	179.96476693	48.38976378	111.04873110	-301.67700000
D2	175.23934606	48.38976378	118.36515354	-304.03700000
D3	170.26871220	48.38976378	125.64028543	-306.39699978
D4	164.94828780	48.38976339	132.45990709	-308.74661124
D5	159.35645866	48.38976339	139.16145000	-311.11943354
D6	153.58284370	48.38976339	145.59817992	-313.47952417
D7	146.51809606	48.38976339	152.43758661	-316.13444040
D8	139.95385669	48.38976339	158.42336024	-318.50381324
D9	133.50742756	48.38976339	163.97655945	-320.81503573
D10	126.51966457	48.38976339	169.32969055	-323.21895613
D11	119.39009882	48.38976339	174.41129764	-325.57895591
D12	112.18299606	48.38976339	179.18706024	-327.93895507
D13	104.70384724	48.38976339	183.60131102	-330.29895740
D14	95.97073386	48.38976339	188.25828465	-333.08599765
D15	88.10941299	48.38976378	192.01739291	-335.42600276
D16	80.36089961	48.38976378	195.52203346	-337.76099709
D17	71.90645512	48.38976378	198.58564016	-340.10500026
D18	63.43291575	48.38976378	201.57727520	-342.45000114
D19	55.23916772	48.38976378	203.79568504	-344.79000256
D20	46.80534291	48.38976378	205.77635079	-347.13000584
D21	37.61585630	48.38976378	207.56668031	-349.42979260
D22	28.86607874	48.38976378	208.77558504	-351.61151163
D23	19.92185669	48.38976378	210.77002244	-353.96154017
D24	11.27958150	48.38976378	211.32659882	-356.31150161
D25	2.12772598	48.38976378	211.28922677	-358.66159740
D26	-7.06087874	48.38976378	211.40623268	-1.01151752
D27	-17.10875984	48.38976378	209.67940315	-4.83498641
D28	-25.54815669	48.38976378	209.01920157	-7.18499525
D29	-34.22403150	48.38976378	208.02821929	-9.53499560
D30	-42.79557323	48.38976378	206.63188543	-11.88499545
D31	-51.13227638	48.38976378	204.90890945	-14.23499731
D32	-59.52961850	48.38976378	202.83581457	-16.58499730
D33	-67.93892953	48.38976378	200.07783740	-18.90799781
D34	-76.91332874	48.38976378	196.95191378	-21.41799722
D35	-85.04251299	48.38976378	193.69740157	-23.76599826
D36	-92.91609213	48.38976378	190.06314606	-26.11899553
D37	-100.61370748	48.38976378	186.22017126	-28.47900032
E1	179.96476693	98.31102362	111.04873110	-301.67700000
E2	175.23934606	98.31102362	118.36515354	-304.03700000
E3	170.26871220	98.31102362	125.64028543	-306.39699978
E4	164.94828780	98.31102362	132.45990709	-308.74661124
E5	159.35645866	98.31102362	139.16145000	-311.11943354
E6	153.58284370	98.31102362	145.59817992	-313.47952417
E7	146.51809606	98.31102362	152.43758661	-316.13444040
E8	139.95385669	98.31102362	158.42336024	-318.50381324
E9	133.50742756	98.31102362	163.97655945	-320.81503573
E10	126.51966457	98.31102362	169.32969055	-323.21895613
E11	119.39009882	98.31102362	174.41129764	-325.57895591
E12	112.18299606	98.31102362	179.18706024	-327.93895507
E13	104.70384724	98.31102362	183.60131102	-330.29895740
E14	95.97073386	98.31102362	188.25828465	-333.08599765
E15	88.10941299	98.31102362	192.01739291	-335.42600276
E16	80.36089961	98.31102362	195.52203346	-337.76099709
E17	71.90645512	98.31102362	198.58564016	-340.10500026
E18	63.43291575	98.31102362	201.57727520	-342.45000114
E19	55.23916772	98.31102362	203.79568504	-344.79000256
E20	46.80534291	98.31102362	205.77635079	-347.13000584
E21	37.61585630	98.31102362	207.56668031	-349.42979260
E22	28.86607874	98.31102362	208.77558504	-351.61151163
E23	19.92185669	98.31102362	210.77002244	-353.96154017
E24	11.27958150	98.31102362	211.32659882	-356.31150161
E25	2.12772598	98.31102362	211.28922677	-358.66159740
E26	-7.06087874	98.31102362	211.40623268	-1.01151752
E27	-17.10875984	98.31102362	209.67940315	-4.83498641
E28	-25.54815669	98.31102362	209.01920157	-7.18499525
E29	-34.22403150	98.31102362	208.02821929	-9.53499560
E30	-42.79557323	98.31102362	206.63188543	-11.88499545
E31	-51.13227638	98.31102362	204.90890945	-14.23499731
E32	-59.52961850	98.31102362	202.83581457	-16.58499730
E33	-67.93892953	98.31102362	200.07783740	-18.90799781
E34	-76.91332874	98.31102362	196.95191378	-21.41799722
E35	-85.04251299	98.31102362	193.69740157	-23.76599826
E36	-92.91609213	98.31102362	190.06314606	-26.11899553
E37	-100.61370748	98.31102362	186.22017126	-28.47900032
